date,S&P500,나스닥100,나스닥종합,다우존스,러셀2000,반도체(SOX),QQQ(나100 1x),QLD(나100 2x),TQQQ(나100 3x),SPY(S&P 1x),SSO(S&P 2x),UPRO(S&P 3x),SOXX(반도체 1x),SOXL(반도체 3x),DIA(다우 1x),UDOW(다우 3x),IWM(러셀 1x),TNA(러셀 3x)
2013-01-31,8483.069073022076,2365.370583558153,3100.5821949469228,429.99877452521184,528.1248403191508,339.09234382214294,135.2572965819502,179.61677548001626,249.65852756787936,493.0214427788366,104.04442919477724,354.0982795957041,79.76093306336998,78.22401373041293,240.8472263350867,225.56836258483136,221.76245374484026,250.824501523215
2013-02-28,8576.897320488359,2371.475578902095,3118.4034493838512,436.01447726532194,533.4055373655867,350.51235541327605,135.7225373477782,180.48801819878554,251.13666724443368,499.31184979186537,106.29572856283198,366.7209875124039,82.66550657356753,87.90195222136867,244.72591313950076,235.40293942165147,223.99050714775782,257.1354102819459
2013-03-31,8885.560333887537,2440.8467782028442,3224.314325645517,452.27214992661544,557.0751077968563,358.75284121288433,139.82782269375102,191.45368901334328,273.0876872998251,518.2713459214457,114.1483416900009,407.1819314441625,84.59060796070041,91.41046844040044,254.04643207130056,262.91149167441773,234.42636853411915,292.4039712667725
2013-04-30,9046.26251468043,2500.380894934295,3284.7741852718805,460.3772493105001,554.6865145569975,365.07902241842487,143.37572680657743,200.37303968265422,292.03742015506134,528.228364811524,118.55910266042847,429.37036279450325,86.07640282375235,95.41346942329915,259.0180907402327,278.2111440261027,233.60701391310218,287.01340111732827
2013-05-31,9234.088359708243,2582.0574325317557,3410.2131803780458,468.93251754178544,576.1665233186745,385.0188804088664,148.504980149549,214.62514012339474,323.30617019424767,540.6997999888945,123.95527215410907,458.5837642655613,90.97669604680706,112.74429373207502,265.15389624067956,295.8752333649746,242.79249569784835,319.94831774321716
2013-06-30,9095.583483440736,2519.570499719381,3358.2495786291424,462.542658716784,572.2615739359404,384.8545535940724,144.94785249897907,203.522794032287,297.3679780494384,533.4844029147232,120.0984427459441,434.62691890923287,90.93751603033165,110.48374700496299,261.21715299259773,282.1195459757587,240.80644254237478,309.5616970448515
2013-07-31,9545.46996055482,2675.9524173677733,3578.4194278992827,480.84446573919377,611.9431091304036,392.5363683397839,154.09996606531905,230.09371966975215,357.2628514223956,561.0531249935732,132.60443265016042,505.95130226338733,93.01345340868971,116.86510189488175,272.6393919424878,319.2947854489683,258.4676242000247,380.7562616275791
2013-08-31,9246.715655789883,2661.7682449254917,3542.40205931926,459.4623695168524,591.8271991469871,376.03897408818864,153.48978029429557,227.6924222796592,351.21532310894736,544.2260576360405,124.54363013741391,459.3293939450289,89.3484103945951,102.7131465501884,260.99286462233437,279.5091294954511,250.28921706463913,343.35111346153263
2013-09-30,9521.801038262969,2786.802786301313,3721.610535581407,469.36993175665674,628.6458956795857,403.25802857717025,160.90669533067245,249.46053478644777,403.5840700536757,561.4488125497437,132.6115931418798,503.417775764225,95.84937938099534,126.30750006038427,267.0727942847199,298.25243685286364,266.53065493932,412.31067033953804
2013-10-31,9946.432923213773,2924.947941011595,3867.8805038321634,482.2780440210539,644.0782390601422,416.61699127731504,168.88268272591864,274.5655765356681,462.896133606158,587.4476934494029,144.64441724363624,572.6891946033029,99.0419330844923,137.79852158929938,274.9650688787893,323.61487086004234,272.98089057350774,439.13181643343125
2013-11-30,10225.425108700512,3020.2805394618663,4006.2068672684054,499.05102201416247,669.1001879186765,419.2131994999992,174.88000125626482,293.5269147912685,510.7400413228128,604.8581990394468,152.99529611754826,623.5113186272604,99.90480811881606,140.78907489714084,285.1148808451678,359.70759213085637,283.7811695103983,489.4216240804735
2013-12-31,10466.364673397326,3110.4952334453938,4121.363720819862,514.2601184605431,681.2481887948442,439.57207331723913,179.99891802466507,310.6171106480194,555.9863841150076,620.539968287411,160.8388885540814,670.5044992198422,104.90205655953628,162.5231392087559,294.25957318570346,393.90204185848984,289.5167418371594,518.2005091904521
2014-01-31,10093.941003524598,3049.8093345124053,4049.6151875999976,487.02767528038606,662.0689778388888,434.76577724840837,176.54058317780297,297.95540239751267,520.6407429288095,598.6671726928126,149.2025289022036,598.6571227645479,103.76228111996572,155.5531741168834,278.97874389266883,334.115245315114,281.48574385045384,472.2230766139477
2014-02-28,10529.161762390151,3200.6407951271767,4251.154798568619,506.35076178633324,692.5999919243923,463.2336804279718,185.6366307495147,328.518114659967,600.8286001271896,625.9158896586681,162.72074732089948,680.3904000865527,110.73073229572455,188.37803019176843,290.922409255188,377.98684731988885,294.9376103656548,537.8765630218586
2014-03-31,10602.151653442312,3113.733880939034,4143.467916038412,510.56836430017734,686.7513938463155,482.05614616511633,180.56211465953197,310.1493796359297,550.5653790552653,631.1082368094787,165.19888902804988,695.0105824220223,115.27736811374672,211.71340224636913,293.6066475325793,386.2967971136708,292.7300273313163,522.6844650308949
2014-04-30,10667.89336041783,3101.8530614860606,4060.154141781168,514.3897855085864,659.7154741864629,473.2076712089717,179.98547530080685,306.7812262733382,539.3662725244016,635.4954138875702,167.2382149072519,706.497666288562,113.1364796033832,197.34958831804386,296.00761641926243,393.73972492099097,281.75966437593496,460.77890131978194
2014-05-31,10892.242145579305,3235.90228587832,4186.520890568851,518.6191731817037,664.1882888680607,492.6135297332121,188.0588749889667,334.3500379141366,612.2077380462401,650.2428593282646,174.61104960704571,753.2817341648254,118.14161119543276,223.534265370436,299.4220959021623,407.0529560817901,283.9739059037893,468.0735830521101
2014-06-30,11099.830109885315,3333.460225637949,4349.891785157929,522.0140261572974,698.4134289494814,522.4698616122005,193.93363867356038,355.16614228178935,670.1084860353986,663.6668744875338,181.76736224940348,800.1790221233477,125.33530739009603,266.27248921018565,301.72554810612223,415.1458464146542,298.945011191218,544.1006952992583
2014-07-31,10932.446549416207,3370.713445486135,4311.989517901147,513.8456686434328,655.7402741633081,499.15330571068273,196.2258387962015,362.6006368313365,690.5397294365005,654.7488755604401,176.53947705221665,764.6493854249958,119.88092103873531,229.77414059292087,297.3720126248342,396.56662188259276,280.8459436052593,447.059247844856
2014-08-31,11344.111055645115,3535.2961031487766,4519.706122999636,530.4476557909439,687.5182907154452,530.1270298429681,206.05567962416976,399.3979106526775,797.3556204425425,680.5875957045151,190.43334098223343,856.0505758629492,127.56930383852891,277.433928264219,307.97446598058997,439.0085495026131,294.4095423410453,513.2480359965703
